Source,Target,Type,Label,Weight
"Richard Beer-Hofmann","Wiener Schachclub","Directed","Richard Beer-Hofmann–Wiener Schachclub","9"
"Richard Beer-Hofmann","Die Zeit. Wiener Wochenschrift","Directed","Richard Beer-Hofmann–Die Zeit. Wiener Wochenschrift","8"
"Richard Beer-Hofmann","Neue Freie Presse","Directed","Richard Beer-Hofmann–Neue Freie Presse","3"
"Richard Beer-Hofmann","Accademia di belle arti di Venezia","Directed","Richard Beer-Hofmann–Accademia di belle arti di Venezia","3"
"Richard Beer-Hofmann","?? [Wiener Club September 1901]","Directed","Richard Beer-Hofmann–?? [Wiener Club September 1901]","3"
"Richard Beer-Hofmann","Berliner Börsen-Courier","Directed","Richard Beer-Hofmann–Berliner Börsen-Courier","2"
"Richard Beer-Hofmann","Frankfurter Zeitung","Directed","Richard Beer-Hofmann–Frankfurter Zeitung","2"
"Richard Beer-Hofmann","J. Eisenstein & Co.","Directed","Richard Beer-Hofmann–J. Eisenstein & Co.","2"
"Richard Beer-Hofmann","Wiener Allgemeine Zeitung","Directed","Richard Beer-Hofmann–Wiener Allgemeine Zeitung","2"
"Richard Beer-Hofmann","»Freie Bühne« Verein für moderne Literatur","Directed","Richard Beer-Hofmann–»Freie Bühne« Verein für moderne Literatur","2"
"Richard Beer-Hofmann","Saubermänner","Directed","Richard Beer-Hofmann–Saubermänner","2"
"Richard Beer-Hofmann","Burgtheater","Directed","Richard Beer-Hofmann–Burgtheater","2"
"Richard Beer-Hofmann","Stoll & Uhlig","Directed","Richard Beer-Hofmann–Stoll & Uhlig","2"
"Richard Beer-Hofmann","Freund & Jeckel","Directed","Richard Beer-Hofmann–Freund & Jeckel","2"
"Richard Beer-Hofmann","Wenzel Swatek","Directed","Richard Beer-Hofmann–Wenzel Swatek","2"
"Richard Beer-Hofmann","Bund für Mutterschutz","Directed","Richard Beer-Hofmann–Bund für Mutterschutz","2"
"Richard Beer-Hofmann","Schenker & Co.","Directed","Richard Beer-Hofmann–Schenker & Co.","2"
"Richard Beer-Hofmann","Westbahnstrecke","Directed","Richard Beer-Hofmann–Westbahnstrecke","2"
"Richard Beer-Hofmann","Cabaret Fledermaus","Directed","Richard Beer-Hofmann–Cabaret Fledermaus","2"
"Richard Beer-Hofmann","Bundestheaterkassen","Directed","Richard Beer-Hofmann–Bundestheaterkassen","2"
"Richard Beer-Hofmann","Jung-Wiener Theater zum Lieben Augustin","Directed","Richard Beer-Hofmann–Jung-Wiener Theater zum Lieben Augustin","2"
"Richard Beer-Hofmann","Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","Directed","Richard Beer-Hofmann–Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","1"
"Richard Beer-Hofmann","Calmann-Lévy","Directed","Richard Beer-Hofmann–Calmann-Lévy","1"
"Richard Beer-Hofmann","Wiener Verlag","Directed","Richard Beer-Hofmann–Wiener Verlag","1"
"Richard Beer-Hofmann","F. Fontane","Directed","Richard Beer-Hofmann–F. Fontane","1"
"Richard Beer-Hofmann","Franz-Grillparzer-Preis","Directed","Richard Beer-Hofmann–Franz-Grillparzer-Preis","1"
"Richard Beer-Hofmann","Wiener Rundschau","Directed","Richard Beer-Hofmann–Wiener Rundschau","1"
"Richard Beer-Hofmann","Deutscher Schulverein","Directed","Richard Beer-Hofmann–Deutscher Schulverein","1"
"Richard Beer-Hofmann","Akademischer Verein für Kunst und Literatur","Directed","Richard Beer-Hofmann–Akademischer Verein für Kunst und Literatur","1"
"Richard Beer-Hofmann","Vorwärts","Directed","Richard Beer-Hofmann–Vorwärts","1"
