Source,CorrID,Target,OrgID,Overallcount,Type,Label,Weight
"Robert Adam","12438","S. Fischer Verlag","29639","76","Directed","Robert Adam–S. Fischer Verlag","5"
"Robert Adam","12438","Deutschösterreichischer Autorenverband","29594","4","Directed","Robert Adam–Deutschösterreichischer Autorenverband","3"
"Robert Adam","12438","Nationaltheater München","44112","7","Directed","Robert Adam–Nationaltheater München","3"
"Robert Adam","12438","Der Merker","29560","4","Directed","Robert Adam–Der Merker","2"
"Robert Adam","12438","Privatbibliothek der Wiener Justizbeamten","29587","2","Directed","Robert Adam–Privatbibliothek der Wiener Justizbeamten","2"
"Robert Adam","12438","Bezirksgericht Wien Josefstadt","29605","3","Directed","Robert Adam–Bezirksgericht Wien Josefstadt","2"
"Robert Adam","12438","Prager Tagblatt","29259","1","Directed","Robert Adam–Prager Tagblatt","1"
"Robert Adam","12438","Die Schaubühne / Die Weltbühne","29348","2","Directed","Robert Adam–Die Schaubühne / Die Weltbühne","1"
"Robert Adam","12438","Handelsgericht Wien","29591","1","Directed","Robert Adam–Handelsgericht Wien","1"
"Robert Adam","12438","Vereinigung der fachmännischen Laienrichter Österreichs","29593","1","Directed","Robert Adam–Vereinigung der fachmännischen Laienrichter Österreichs","1"
"Robert Adam","12438","Carl Gerold’s Sohn","29595","1","Directed","Robert Adam–Carl Gerold’s Sohn","1"
"Robert Adam","12438","Vereinigung der österreichischen Richterinnen und Richter","29598","1","Directed","Robert Adam–Vereinigung der österreichischen Richterinnen und Richter","1"
"Robert Adam","12438","Bezirksgericht Wien Floridsdorf","29602","1","Directed","Robert Adam–Bezirksgericht Wien Floridsdorf","1"
"Robert Adam","12438","Nobelpreis","29679","6","Directed","Robert Adam–Nobelpreis","1"
"Robert Adam","12438","Ullstein Verlag","29681","5","Directed","Robert Adam–Ullstein Verlag","1"
"Robert Adam","12438","Drei Masken-Verlag","33886","1","Directed","Robert Adam–Drei Masken-Verlag","1"
"Robert Adam","12438","Amerikanische Kinderhilfsaktion","34426","1","Directed","Robert Adam–Amerikanische Kinderhilfsaktion","1"
"Robert Adam","12438","Burgtheater","36247","62","Directed","Robert Adam–Burgtheater","1"
