Source,CorrID,Target,OrgID,Overallcount,Type,Label,Weight
"Eduard Michael Kafka","2563","Moderne Dichtung/Moderne Rundschau","29417","4","Directed","Eduard Michael Kafka–Moderne Dichtung/Moderne Rundschau","3"
"Eduard Michael Kafka","2563","Magazin für die Literatur des Auslandes","29625","7","Directed","Eduard Michael Kafka–Magazin für die Literatur des Auslandes","2"
"Eduard Michael Kafka","2563","Berliner Tageblatt","29329","13","Directed","Eduard Michael Kafka–Berliner Tageblatt","1"
"Eduard Michael Kafka","2563","»Freie Bühne« Verein für moderne Literatur","29781","9","Directed","Eduard Michael Kafka–»Freie Bühne« Verein für moderne Literatur","1"
"Eduard Michael Kafka","2563","Budapester Tagblatt","41718","1","Directed","Eduard Michael Kafka–Budapester Tagblatt","1"
"Eduard Michael Kafka","2563","Freie literarische Gesellschaft Hamburg","42601","1","Directed","Eduard Michael Kafka–Freie literarische Gesellschaft Hamburg","1"
"Eduard Michael Kafka","2563","Saisontheater Ischl","42649","3","Directed","Eduard Michael Kafka–Saisontheater Ischl","1"
"Eduard Michael Kafka","2563","F. und P. Lehmann","42660","1","Directed","Eduard Michael Kafka–F. und P. Lehmann","1"
"Eduard Michael Kafka","2563","Literarisches Bureau Clemens Freyer","42708","1","Directed","Eduard Michael Kafka–Literarisches Bureau Clemens Freyer","1"
"Eduard Michael Kafka","2563","Holzwarth & Ortony","42965","1","Directed","Eduard Michael Kafka–Holzwarth & Ortony","1"
