Source,CorrID,Target,OrgID,Overallcount,Type,Label,Weight
"Felix Braun","11002","Georg Müller Verlag","29584","4","Directed","Felix Braun–Georg Müller Verlag","2"
"Felix Braun","11002","S. Fischer Verlag","29639","76","Directed","Felix Braun–S. Fischer Verlag","2"
"Felix Braun","11002","Propyläen Verlag","29377","1","Directed","Felix Braun–Propyläen Verlag","1"
"Felix Braun","11002","Allgemeine elsässische Bankgesellschaft","29585","1","Directed","Felix Braun–Allgemeine elsässische Bankgesellschaft","1"
