Source,Target,Type,Label,Weight
"Hermann Bahr","Die Zeit. Wiener Wochenschrift","Directed","Hermann Bahr–Die Zeit. Wiener Wochenschrift","39"
"Hermann Bahr","S. Fischer Verlag","Directed","Hermann Bahr–S. Fischer Verlag","16"
"Hermann Bahr","Neues Wiener Tagblatt","Directed","Hermann Bahr–Neues Wiener Tagblatt","13"
"Hermann Bahr","Deutsche Zeitung","Directed","Hermann Bahr–Deutsche Zeitung","4"
"Hermann Bahr","Wiener Verlag","Directed","Hermann Bahr–Wiener Verlag","3"
"Hermann Bahr","Franz-Grillparzer-Preis","Directed","Hermann Bahr–Franz-Grillparzer-Preis","3"
"Hermann Bahr","Burgtheater","Directed","Hermann Bahr–Burgtheater","3"
"Hermann Bahr","Cosmopolis","Directed","Hermann Bahr–Cosmopolis","2"
"Hermann Bahr","Niederösterreichische Statthalterei","Directed","Hermann Bahr–Niederösterreichische Statthalterei","2"
"Hermann Bahr","Reichswehr","Directed","Hermann Bahr–Reichswehr","2"
"Hermann Bahr","Neues Wiener Journal","Directed","Hermann Bahr–Neues Wiener Journal","2"
"Hermann Bahr","Berliner Tageblatt","Directed","Hermann Bahr–Berliner Tageblatt","2"
"Hermann Bahr","Neue Freie Presse","Directed","Hermann Bahr–Neue Freie Presse","2"
"Hermann Bahr","Bauernfeld-Preis","Directed","Hermann Bahr–Bauernfeld-Preis","2"
"Hermann Bahr","Pensionsanstalt deutscher Journalisten und Schriftsteller","Directed","Hermann Bahr–Pensionsanstalt deutscher Journalisten und Schriftsteller","2"
"Hermann Bahr","Nationaltheater München","Directed","Hermann Bahr–Nationaltheater München","2"
"Hermann Bahr","Berliner Neueste Nachrichten","Directed","Hermann Bahr–Berliner Neueste Nachrichten","1"
"Hermann Bahr","Gemütliche Harmonie","Directed","Hermann Bahr–Gemütliche Harmonie","1"
"Hermann Bahr","Süddeutsches Antiquariat","Directed","Hermann Bahr–Süddeutsches Antiquariat","1"
"Hermann Bahr","Akademie der Tonkunst","Directed","Hermann Bahr–Akademie der Tonkunst","1"
"Hermann Bahr","Carl Konegen","Directed","Hermann Bahr–Carl Konegen","1"
"Hermann Bahr","Pester Lloyd","Directed","Hermann Bahr–Pester Lloyd","1"
"Hermann Bahr","Vossische Zeitung","Directed","Hermann Bahr–Vossische Zeitung","1"
"Hermann Bahr","Die Schaubühne / Die Weltbühne","Directed","Hermann Bahr–Die Schaubühne / Die Weltbühne","1"
"Hermann Bahr","J. Singer & Co.","Directed","Hermann Bahr–J. Singer & Co.","1"
"Hermann Bahr","The Dial","Directed","Hermann Bahr–The Dial","1"
"Hermann Bahr","Kikeriki","Directed","Hermann Bahr–Kikeriki","1"
"Hermann Bahr","Berliner Börsen-Courier","Directed","Hermann Bahr–Berliner Börsen-Courier","1"
"Hermann Bahr","Österreichische Volks-Zeitung","Directed","Hermann Bahr–Österreichische Volks-Zeitung","1"
"Hermann Bahr","Stiegl-Brauerei","Directed","Hermann Bahr–Stiegl-Brauerei","1"
