Source,CorrID,Target,OrgID,Overallcount,Type,Label,Weight
"Albert Ehrenstein","11230","Neue Freie Presse","29351","72","Directed","Albert Ehrenstein–Neue Freie Presse","6"
"Albert Ehrenstein","11230","Österreichische Rundschau","29496","5","Directed","Albert Ehrenstein–Österreichische Rundschau","3"
"Albert Ehrenstein","11230","Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","29212","9","Directed","Albert Ehrenstein–Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","2"
"Albert Ehrenstein","11230","Hyperion","29552","6","Directed","Albert Ehrenstein–Hyperion","2"
"Albert Ehrenstein","11230","Erdgeist","29633","2","Directed","Albert Ehrenstein–Erdgeist","2"
"Albert Ehrenstein","11230","Die Fackel","29308","2","Directed","Albert Ehrenstein–Die Fackel","1"
"Albert Ehrenstein","11230","Der Merker","29560","4","Directed","Albert Ehrenstein–Der Merker","1"
"Albert Ehrenstein","11230","März","29567","1","Directed","Albert Ehrenstein–März","1"
"Albert Ehrenstein","11230","Der Spiegel. Münchner Halbmonatsschrift","29568","1","Directed","Albert Ehrenstein–Der Spiegel. Münchner Halbmonatsschrift","1"
"Albert Ehrenstein","11230","Der Sturm","29571","1","Directed","Albert Ehrenstein–Der Sturm","1"
"Albert Ehrenstein","11230","Egon Fleischel & Co.","29572","1","Directed","Albert Ehrenstein–Egon Fleischel & Co.","1"
"Albert Ehrenstein","11230","S. Fischer Verlag","29639","76","Directed","Albert Ehrenstein–S. Fischer Verlag","1"
"Albert Ehrenstein","11230","Albert Langen","29654","5","Directed","Albert Ehrenstein–Albert Langen","1"
"Albert Ehrenstein","11230","Insel-Verlag","29751","2","Directed","Albert Ehrenstein–Insel-Verlag","1"
"Albert Ehrenstein","11230","Ministerium für Inneres","44133","2","Directed","Albert Ehrenstein–Ministerium für Inneres","1"
"Albert Ehrenstein","11230","Ministerium für Unterricht","44136","2","Directed","Albert Ehrenstein–Ministerium für Unterricht","1"
"Albert Ehrenstein","11230","Erich-Reiss-Verlag","65371","4","Directed","Albert Ehrenstein–Erich-Reiss-Verlag","1"
