Source,Target,Type,Label,Weight
"Friedrich M. Fels","Die Presse","Directed","Friedrich M. Fels–Die Presse","2"
"Friedrich M. Fels","Deutsche Zeitung","Directed","Friedrich M. Fels–Deutsche Zeitung","2"
"Friedrich M. Fels","Grazer Tagblatt","Directed","Friedrich M. Fels–Grazer Tagblatt","1"
"Friedrich M. Fels","Leopold Weiss","Directed","Friedrich M. Fels–Leopold Weiss","1"
"Friedrich M. Fels","Meininger","Directed","Friedrich M. Fels–Meininger","1"
"Friedrich M. Fels","Vossische Zeitung","Directed","Friedrich M. Fels–Vossische Zeitung","1"
"Friedrich M. Fels","Neue Freie Presse","Directed","Friedrich M. Fels–Neue Freie Presse","1"
"Friedrich M. Fels","Allgemeine Kunst-Chronik","Directed","Friedrich M. Fels–Allgemeine Kunst-Chronik","1"
"Friedrich M. Fels","Neues Wiener Tagblatt","Directed","Friedrich M. Fels–Neues Wiener Tagblatt","1"
"Friedrich M. Fels","Moderne Dichtung/Moderne Rundschau","Directed","Friedrich M. Fels–Moderne Dichtung/Moderne Rundschau","1"
"Friedrich M. Fels","Die Zukunft","Directed","Friedrich M. Fels–Die Zukunft","1"
"Friedrich M. Fels","Kölnische Zeitung","Directed","Friedrich M. Fels–Kölnische Zeitung","1"
"Friedrich M. Fels","Wiener Allgemeine Zeitung","Directed","Friedrich M. Fels–Wiener Allgemeine Zeitung","1"
"Friedrich M. Fels","Neue Zürcher Zeitung","Directed","Friedrich M. Fels–Neue Zürcher Zeitung","1"
"Friedrich M. Fels","Tagespost","Directed","Friedrich M. Fels–Tagespost","1"
"Friedrich M. Fels","Extrapost","Directed","Friedrich M. Fels–Extrapost","1"
"Friedrich M. Fels","Concordia","Directed","Friedrich M. Fels–Concordia","1"
"Friedrich M. Fels","Die Nation","Directed","Friedrich M. Fels–Die Nation","1"
"Friedrich M. Fels","Die Gegenwart","Directed","Friedrich M. Fels–Die Gegenwart","1"
"Friedrich M. Fels","Burgtheater","Directed","Friedrich M. Fels–Burgtheater","1"
"Friedrich M. Fels","Dr. A. Gude GmbH.","Directed","Friedrich M. Fels–Dr. A. Gude GmbH.","1"
"Friedrich M. Fels","Augartenfest","Directed","Friedrich M. Fels–Augartenfest","1"
"Friedrich M. Fels","Deutsche Schillerstiftung","Directed","Friedrich M. Fels–Deutsche Schillerstiftung","1"
"Friedrich M. Fels","Montags-Revue","Directed","Friedrich M. Fels–Montags-Revue","1"
