Source,Target,Type,Label,Weight
"Hugo von Hofmannsthal","S. Fischer Verlag","Directed","Hugo von Hofmannsthal–S. Fischer Verlag","15"
"Hugo von Hofmannsthal","Burgtheater","Directed","Hugo von Hofmannsthal–Burgtheater","11"
"Hugo von Hofmannsthal","Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","Directed","Hugo von Hofmannsthal–Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","4"
"Hugo von Hofmannsthal","Neue Freie Presse","Directed","Hugo von Hofmannsthal–Neue Freie Presse","4"
"Hugo von Hofmannsthal","Deutsche Zeitung","Directed","Hugo von Hofmannsthal–Deutsche Zeitung","4"
"Hugo von Hofmannsthal","Bibliographisches Bureau","Directed","Hugo von Hofmannsthal–Bibliographisches Bureau","4"
"Hugo von Hofmannsthal","Die Zeit. Wiener Wochenschrift","Directed","Hugo von Hofmannsthal–Die Zeit. Wiener Wochenschrift","3"
"Hugo von Hofmannsthal","Allgemeine Bodencreditanstalt","Directed","Hugo von Hofmannsthal–Allgemeine Bodencreditanstalt","3"
"Hugo von Hofmannsthal","Wiener Akademische Vereinigung","Directed","Hugo von Hofmannsthal–Wiener Akademische Vereinigung","3"
"Hugo von Hofmannsthal","Concordia","Directed","Hugo von Hofmannsthal–Concordia","3"
"Hugo von Hofmannsthal","Morgen. Wochenschrift für deutsche Kultur","Directed","Hugo von Hofmannsthal–Morgen. Wochenschrift für deutsche Kultur","3"
"Hugo von Hofmannsthal","Raimund-Preis","Directed","Hugo von Hofmannsthal–Raimund-Preis","2"
"Hugo von Hofmannsthal","Carl Steinhardt & Co.","Directed","Hugo von Hofmannsthal–Carl Steinhardt & Co.","2"
"Hugo von Hofmannsthal","Adolf Bonz & Comp.","Directed","Hugo von Hofmannsthal–Adolf Bonz & Comp.","2"
"Hugo von Hofmannsthal","Franz-Grillparzer-Preis","Directed","Hugo von Hofmannsthal–Franz-Grillparzer-Preis","2"
"Hugo von Hofmannsthal","»Freie Bühne« Verein für moderne Literatur","Directed","Hugo von Hofmannsthal–»Freie Bühne« Verein für moderne Literatur","2"
"Hugo von Hofmannsthal","Orientalische Akademie","Directed","Hugo von Hofmannsthal–Orientalische Akademie","2"
"Hugo von Hofmannsthal","Deutsches Theater Berlin","Directed","Hugo von Hofmannsthal–Deutsches Theater Berlin","2"
"Hugo von Hofmannsthal","Südbahnstrecke","Directed","Hugo von Hofmannsthal–Südbahnstrecke","2"
"Hugo von Hofmannsthal","Ebner-Eschenbach-Stiftung","Directed","Hugo von Hofmannsthal–Ebner-Eschenbach-Stiftung","2"
"Hugo von Hofmannsthal","Erich-Reiss-Verlag","Directed","Hugo von Hofmannsthal–Erich-Reiss-Verlag","2"
"Hugo von Hofmannsthal","Manz’sche Verlags- und Universitätsbuchhandlung","Directed","Hugo von Hofmannsthal–Manz’sche Verlags- und Universitätsbuchhandlung","1"
"Hugo von Hofmannsthal","Bazar de la Charité","Directed","Hugo von Hofmannsthal–Bazar de la Charité","1"
"Hugo von Hofmannsthal","Weltausstellung 1893","Directed","Hugo von Hofmannsthal–Weltausstellung 1893","1"
"Hugo von Hofmannsthal","Berliner Börsen-Courier","Directed","Hugo von Hofmannsthal–Berliner Börsen-Courier","1"
"Hugo von Hofmannsthal","Frankfurter Zeitung","Directed","Hugo von Hofmannsthal–Frankfurter Zeitung","1"
"Hugo von Hofmannsthal","J. Eisenstein & Co.","Directed","Hugo von Hofmannsthal–J. Eisenstein & Co.","1"
"Hugo von Hofmannsthal","Österreichische Rundschau","Directed","Hugo von Hofmannsthal–Österreichische Rundschau","1"
"Hugo von Hofmannsthal","Hyperion","Directed","Hugo von Hofmannsthal–Hyperion","1"
"Hugo von Hofmannsthal","Deutschösterreichischer Autorenverband","Directed","Hugo von Hofmannsthal–Deutschösterreichischer Autorenverband","1"
