Source,CorrID,Target,OrgID,Overallcount,Type,Label,Weight
"Max Eugen Burckhard","11036","Wiener Verlag","29636","14","Directed","Max Eugen Burckhard–Wiener Verlag","4"
"Max Eugen Burckhard","11036","Burgtheater","36247","62","Directed","Max Eugen Burckhard–Burgtheater","3"
"Max Eugen Burckhard","11036","Österreichische Nationalbibliothek","29349","2","Directed","Max Eugen Burckhard–Österreichische Nationalbibliothek","2"
"Max Eugen Burckhard","11036","S. Fischer Verlag","29639","76","Directed","Max Eugen Burckhard–S. Fischer Verlag","2"
"Max Eugen Burckhard","11036","J.G. Cotta’sche Buchhandlung Nachfolger","29215","2","Directed","Max Eugen Burckhard–J.G. Cotta’sche Buchhandlung Nachfolger","1"
"Max Eugen Burckhard","11036","Pester Lloyd","29306","2","Directed","Max Eugen Burckhard–Pester Lloyd","1"
"Max Eugen Burckhard","11036","Rütten & Loening","29309","1","Directed","Max Eugen Burckhard–Rütten & Loening","1"
"Max Eugen Burckhard","11036","A. Entsch","29557","1","Directed","Max Eugen Burckhard–A. Entsch","1"
"Max Eugen Burckhard","11036","Grillparzer-Gesellschaft","29558","1","Directed","Max Eugen Burckhard–Grillparzer-Gesellschaft","1"
"Max Eugen Burckhard","11036","Halkyone-Verlag","48414","1","Directed","Max Eugen Burckhard–Halkyone-Verlag","1"
"Max Eugen Burckhard","11036","Puttkammer & Mühlbrecht, Buchhandlung für Staats- und Rechtswissenschaft","48419","1","Directed","Max Eugen Burckhard–Puttkammer & Mühlbrecht, Buchhandlung für Staats- und Rechtswissenschaft","1"
"Max Eugen Burckhard","11036","Deutsch-Österreichischer Verlag","48425","1","Directed","Max Eugen Burckhard–Deutsch-Österreichischer Verlag","1"
"Max Eugen Burckhard","11036","F. Tempsky","48451","1","Directed","Max Eugen Burckhard–F. Tempsky","1"
"Max Eugen Burckhard","11036","G. Freytag","48455","1","Directed","Max Eugen Burckhard–G. Freytag","1"
