Source,CorrID,Target,EventID,Overallcount,Type,Label,Weight
"Eduard Michael Kafka","2563","Uraufführung von Gläubiger, Vor dem Tode, Herbstzeichen, 22.1.1893","42620","1","Directed","Eduard Michael Kafka–Uraufführung von Gläubiger, Vor dem Tode, Herbstzeichen, 22.1.1893","1"
"Eduard Michael Kafka","2563","Premiere von Baumeister Solness, 19.1.1893","42609","1","Directed","Eduard Michael Kafka–Premiere von Baumeister Solness, 19.1.1893","1"
"Eduard Michael Kafka","2563","Gründungsveranstaltung Freie Bühne, Verein für moderne Literatur, 7.7.1891","40995","1","Directed","Eduard Michael Kafka–Gründungsveranstaltung Freie Bühne, Verein für moderne Literatur, 7.7.1891","1"
