Source,CorrID,Target,EventID,Overallcount,Type,Label,Weight
"Paul Goldmann","11485","Uraufführung von Der Schleier der Beatrice, 1.12.1900","35095","7","Directed","Paul Goldmann–Uraufführung von Der Schleier der Beatrice, 1.12.1900","6"
"Paul Goldmann","11485","Uraufführung von Lebendige Stunden, 4.1.1902","35104","7","Directed","Paul Goldmann–Uraufführung von Lebendige Stunden, 4.1.1902","5"
"Paul Goldmann","11485","Uraufführung von Liebelei, Premiere von Rechte der Seele, 9.10.1895","35203","5","Directed","Paul Goldmann–Uraufführung von Liebelei, Premiere von Rechte der Seele, 9.10.1895","2"
"Paul Goldmann","11485","Premiere von Orestie, 06.12.1900","299609","1","Directed","Paul Goldmann–Premiere von Orestie, 06.12.1900","1"
"Paul Goldmann","11485","Premiere von König Harlekin, 14.9.1901","299578","1","Directed","Paul Goldmann–Premiere von König Harlekin, 14.9.1901","1"
"Paul Goldmann","11485","Hochzeit von Helene Altmann und Julius Schnitzler, 8.7.1894","298917","3","Directed","Paul Goldmann–Hochzeit von Helene Altmann und Julius Schnitzler, 8.7.1894","1"
"Paul Goldmann","11485","Uraufführung von Alt-Heidelberg, 22.11.1901","144188","1","Directed","Paul Goldmann–Uraufführung von Alt-Heidelberg, 22.11.1901","1"
"Paul Goldmann","11485","Uraufführung Der rothe Hahn, 27.11.1901","144171","1","Directed","Paul Goldmann–Uraufführung Der rothe Hahn, 27.11.1901","1"
"Paul Goldmann","11485","Uraufführung von Gevatter Tod, 6.4.1900","141542","1","Directed","Paul Goldmann–Uraufführung von Gevatter Tod, 6.4.1900","1"
"Paul Goldmann","11485","Aufführung von Liebelei, 6.4.1900","141525","1","Directed","Paul Goldmann–Aufführung von Liebelei, 6.4.1900","1"
"Paul Goldmann","11485","Vortrag von Adele Schreiber über Arthur Schnitzler, 28.3.1900","141507","1","Directed","Paul Goldmann–Vortrag von Adele Schreiber über Arthur Schnitzler, 28.3.1900","1"
"Paul Goldmann","11485","Aufführung von Romeo und Julia, 7.1.1891","88363","1","Directed","Paul Goldmann–Aufführung von Romeo und Julia, 7.1.1891","1"
"Paul Goldmann","11485","Leseprobe von Liebelei, 18.9.1895","48866","3","Directed","Paul Goldmann–Leseprobe von Liebelei, 18.9.1895","1"
"Paul Goldmann","11485","Premiere von Abschiedssouper, Uraufführung Weihnachtseinkäufe, 16.1.1898","45952","2","Directed","Paul Goldmann–Premiere von Abschiedssouper, Uraufführung Weihnachtseinkäufe, 16.1.1898","1"
"Paul Goldmann","11485","Uraufführung von Das Vermächtnis, 8.10.1898","35382","2","Directed","Paul Goldmann–Uraufführung von Das Vermächtnis, 8.10.1898","1"
"Paul Goldmann","11485","Uraufführung von Freiwild, 3.11.1896","35152","4","Directed","Paul Goldmann–Uraufführung von Freiwild, 3.11.1896","1"
