Source,CorrID,Target,EventID,Overallcount,Type,Label,Weight
"Stefan Zweig","13212","Hermann-Bahr-Feier, 26.5.1913","296186","3","Directed","Stefan Zweig–Hermann-Bahr-Feier, 26.5.1913","3"
"Stefan Zweig","13212","Uraufführung von Das Haus am Meer, 26.10.1912","296439","2","Directed","Stefan Zweig–Uraufführung von Das Haus am Meer, 26.10.1912","2"
"Stefan Zweig","13212","Gesangskonzert von Olga Schnitzler, 18.11.1916","183765","2","Directed","Stefan Zweig–Gesangskonzert von Olga Schnitzler, 18.11.1916","2"
"Stefan Zweig","13212","Gesangskonzert von Olga Schnitzler, 29.4.1916","183752","2","Directed","Stefan Zweig–Gesangskonzert von Olga Schnitzler, 29.4.1916","2"
"Stefan Zweig","13212","Gesangskonzert Olga Schnitzler, 5.2.1911","183571","2","Directed","Stefan Zweig–Gesangskonzert Olga Schnitzler, 5.2.1911","2"
"Stefan Zweig","13212","Uraufführung von Professor Bernhardi, 28.11.1912","35355","3","Directed","Stefan Zweig–Uraufführung von Professor Bernhardi, 28.11.1912","2"
"Stefan Zweig","13212","Aufführung von Elektra, 28.4.1915","298646","1","Directed","Stefan Zweig–Aufführung von Elektra, 28.4.1915","1"
"Stefan Zweig","13212","Sonatenabend von Bruno Walter und Arnold Rosé, 26.4.1915","298641","1","Directed","Stefan Zweig–Sonatenabend von Bruno Walter und Arnold Rosé, 26.4.1915","1"
"Stefan Zweig","13212","Private Lesung von Die ungleichen Schalen, 11.10.1910","296492","1","Directed","Stefan Zweig–Private Lesung von Die ungleichen Schalen, 11.10.1910","1"
"Stefan Zweig","13212","Gedenkfeier für Hugo von Hofmannsthal, 13.10.1929","296224","1","Directed","Stefan Zweig–Gedenkfeier für Hugo von Hofmannsthal, 13.10.1929","1"
"Stefan Zweig","13212","Private Lesung von Wahnsinnsnovelle [Flucht in die Finsternis], 23.4.1916","264603","1","Directed","Stefan Zweig–Private Lesung von Wahnsinnsnovelle [Flucht in die Finsternis], 23.4.1916","1"
"Stefan Zweig","13212","1. Sonatenabend von Arnold Rosé und Bruno Walter, 24.11.1915","263810","1","Directed","Stefan Zweig–1. Sonatenabend von Arnold Rosé und Bruno Walter, 24.11.1915","1"
"Stefan Zweig","13212","Aufführung von Der junge Medardus, 27.11.1910","251446","1","Directed","Stefan Zweig–Aufführung von Der junge Medardus, 27.11.1910","1"
"Stefan Zweig","13212","Aufführung von Der Ruf des Lebens, 12.12.1909","249556","1","Directed","Stefan Zweig–Aufführung von Der Ruf des Lebens, 12.12.1909","1"
"Stefan Zweig","13212","Generalprobe von Das Haus am Meer, 25.10.1912","239133","1","Directed","Stefan Zweig–Generalprobe von Das Haus am Meer, 25.10.1912","1"
"Stefan Zweig","13212","Aufführung von Das Lamm des Armen, 23.4.1930","238063","1","Directed","Stefan Zweig–Aufführung von Das Lamm des Armen, 23.4.1930","1"
"Stefan Zweig","13212","Generalprobe von Volpone oder Der Fuchs, 5.11.1926","210385","1","Directed","Stefan Zweig–Generalprobe von Volpone oder Der Fuchs, 5.11.1926","1"
"Stefan Zweig","13212","Aufführung von Das Lied von der Erde, 27.4.1915","209761","1","Directed","Stefan Zweig–Aufführung von Das Lied von der Erde, 27.4.1915","1"
"Stefan Zweig","13212","Private Lesung von Komödie der Worte, 11.4.1915","184119","1","Directed","Stefan Zweig–Private Lesung von Komödie der Worte, 11.4.1915","1"
"Stefan Zweig","13212","Dichterabend Detlev von Liliencron, 3.1.1915","183655","1","Directed","Stefan Zweig–Dichterabend Detlev von Liliencron, 3.1.1915","1"
"Stefan Zweig","13212","Premiere von Der einsame Weg, 19.2.1914","59607","1","Directed","Stefan Zweig–Premiere von Der einsame Weg, 19.2.1914","1"
"Stefan Zweig","13212","Hauptmann-Bankett der Concordia, 17.11.1912","47517","1","Directed","Stefan Zweig–Hauptmann-Bankett der Concordia, 17.11.1912","1"
"Stefan Zweig","13212","Uraufführung von Der Gang zum Weiher, 14.2.1931","35418","1","Directed","Stefan Zweig–Uraufführung von Der Gang zum Weiher, 14.2.1931","1"
"Stefan Zweig","13212","Uraufführung von Komödie der Worte, 12.10.1915","35412","2","Directed","Stefan Zweig–Uraufführung von Komödie der Worte, 12.10.1915","1"
"Stefan Zweig","13212","Uraufführung von Der junge Medardus, 24.11.1910","35251","4","Directed","Stefan Zweig–Uraufführung von Der junge Medardus, 24.11.1910","1"
