Source,CorrID,Target,EventID,Overallcount,Type,Label,Weight
"Gustav Schwarzkopf","12740","2. Aufführung von Zwischenspiel, 13.10.1905","305697","3","Directed","Gustav Schwarzkopf–2. Aufführung von Zwischenspiel, 13.10.1905","3"
"Gustav Schwarzkopf","12740","Probe von Das Märchen, 29.11.1893","192888","3","Directed","Gustav Schwarzkopf–Probe von Das Märchen, 29.11.1893","3"
"Gustav Schwarzkopf","12740","Private Lesung von Der Schleier der Beatrice, 7.10.1899","141501","4","Directed","Gustav Schwarzkopf–Private Lesung von Der Schleier der Beatrice, 7.10.1899","3"
"Gustav Schwarzkopf","12740","Aufführung von Der Teufel, 6.3.1908","209496","2","Directed","Gustav Schwarzkopf–Aufführung von Der Teufel, 6.3.1908","2"
"Gustav Schwarzkopf","12740","Aufführung von Orpheus in der Unterwelt, 25.8.1906","209442","2","Directed","Gustav Schwarzkopf–Aufführung von Orpheus in der Unterwelt, 25.8.1906","2"
"Gustav Schwarzkopf","12740","Premiere von Das Vermächtnis, 15.9.1899","209099","2","Directed","Gustav Schwarzkopf–Premiere von Das Vermächtnis, 15.9.1899","2"
"Gustav Schwarzkopf","12740","Aufführung von Paracelsus, Die Gefährtin, Der grüne Kakadu, 14.9.1899","209098","2","Directed","Gustav Schwarzkopf–Aufführung von Paracelsus, Die Gefährtin, Der grüne Kakadu, 14.9.1899","2"
"Gustav Schwarzkopf","12740","Premiere von Das weite Land, 14.10.1911 [I.]","88534","3","Directed","Gustav Schwarzkopf–Premiere von Das weite Land, 14.10.1911 [I.]","2"
"Gustav Schwarzkopf","12740","Private Lesung von Das weite Land, 29.6.1910","48222","3","Directed","Gustav Schwarzkopf–Private Lesung von Das weite Land, 29.6.1910","2"
"Gustav Schwarzkopf","12740","Concordia-Matinee, 10.1.1909","47680","2","Directed","Gustav Schwarzkopf–Concordia-Matinee, 10.1.1909","2"
"Gustav Schwarzkopf","12740","Private Lesung von Der junge Medardus, 1.11.1909","46528","3","Directed","Gustav Schwarzkopf–Private Lesung von Der junge Medardus, 1.11.1909","2"
"Gustav Schwarzkopf","12740","Premiere von Der grüne Kakadu – Paracelsus – Die Gefährtin. Drei Einakter, 29.4.1899","35482","2","Directed","Gustav Schwarzkopf–Premiere von Der grüne Kakadu – Paracelsus – Die Gefährtin. Drei Einakter, 29.4.1899","2"
"Gustav Schwarzkopf","12740","Uraufführung von Zwischenspiel, 12.10.1905","35173","7","Directed","Gustav Schwarzkopf–Uraufführung von Zwischenspiel, 12.10.1905","2"
"Gustav Schwarzkopf","12740","Premiere von Lebendige Stunden, 14.3.1903","35110","2","Directed","Gustav Schwarzkopf–Premiere von Lebendige Stunden, 14.3.1903","2"
"Gustav Schwarzkopf","12740","Premiere von Die goldene Eva, 16.6.1917","364460","1","Directed","Gustav Schwarzkopf–Premiere von Die goldene Eva, 16.6.1917","1"
"Gustav Schwarzkopf","12740","Hochzeit von Elisabeth Gussmann und Albert Steinrück, September 1908","364297","1","Directed","Gustav Schwarzkopf–Hochzeit von Elisabeth Gussmann und Albert Steinrück, September 1908","1"
"Gustav Schwarzkopf","12740","Premiere von Das Märchen, 14.3.1925","353205","1","Directed","Gustav Schwarzkopf–Premiere von Das Märchen, 14.3.1925","1"
"Gustav Schwarzkopf","12740","Premiere von Der Schleier der Pierrette, 3.7.1925","353196","1","Directed","Gustav Schwarzkopf–Premiere von Der Schleier der Pierrette, 3.7.1925","1"
"Gustav Schwarzkopf","12740","Liederabend Karoline Pollatschek, 28.2.1904","335230","1","Directed","Gustav Schwarzkopf–Liederabend Karoline Pollatschek, 28.2.1904","1"
"Gustav Schwarzkopf","12740","Aufführung von Brand, 31.7.1900","335208","1","Directed","Gustav Schwarzkopf–Aufführung von Brand, 31.7.1900","1"
"Gustav Schwarzkopf","12740","Aufführung von Die Haubenlerche, 26.8.1899","335193","1","Directed","Gustav Schwarzkopf–Aufführung von Die Haubenlerche, 26.8.1899","1"
"Gustav Schwarzkopf","12740","Aufführung von Der Meineidbauer, 14.8.1899","335188","1","Directed","Gustav Schwarzkopf–Aufführung von Der Meineidbauer, 14.8.1899","1"
"Gustav Schwarzkopf","12740","Private Lesung des Prologs zu Mimi, 15.12.1896","335141","2","Directed","Gustav Schwarzkopf–Private Lesung des Prologs zu Mimi, 15.12.1896","1"
"Gustav Schwarzkopf","12740","Aufführung von Der Kuhreigen, 26.8.1913","335119","1","Directed","Gustav Schwarzkopf–Aufführung von Der Kuhreigen, 26.8.1913","1"
"Gustav Schwarzkopf","12740","Premiere von Der Kammersänger, Boubouroche, Literatur, 30.1.1914","335023","1","Directed","Gustav Schwarzkopf–Premiere von Der Kammersänger, Boubouroche, Literatur, 30.1.1914","1"
"Gustav Schwarzkopf","12740","Generalprobe von Liebelei [Elskovsleg], 26.1.1914","335020","1","Directed","Gustav Schwarzkopf–Generalprobe von Liebelei [Elskovsleg], 26.1.1914","1"
"Gustav Schwarzkopf","12740","Generalprobe von Im Wirtshaus zum Pechvogel, 10.9.1927","334996","1","Directed","Gustav Schwarzkopf–Generalprobe von Im Wirtshaus zum Pechvogel, 10.9.1927","1"
"Gustav Schwarzkopf","12740","Premiere von Das Tal des Lebens, 6.5.1904","334951","1","Directed","Gustav Schwarzkopf–Premiere von Das Tal des Lebens, 6.5.1904","1"
"Gustav Schwarzkopf","12740","Lesung von Marcell Salzer, 5.8.1896","334867","1","Directed","Gustav Schwarzkopf–Lesung von Marcell Salzer, 5.8.1896","1"
"Gustav Schwarzkopf","12740","Lesung von Marcell Salzer, 17.7.1896","334863","1","Directed","Gustav Schwarzkopf–Lesung von Marcell Salzer, 17.7.1896","1"
