Source,CorrID,Target,EventID,Overallcount,Type,Label,Weight
"Theodor Herzl","11673","Premiere von Tabarin und Verbotene Früchte, 2.5.1895","94354","2","Directed","Theodor Herzl–Premiere von Tabarin und Verbotene Früchte, 2.5.1895","2"
"Theodor Herzl","11673","Uraufführung von Liebelei, Premiere von Rechte der Seele, 9.10.1895","35203","5","Directed","Theodor Herzl–Uraufführung von Liebelei, Premiere von Rechte der Seele, 9.10.1895","2"
"Theodor Herzl","11673","Generalprobe von Maria und Magdalena, [4.?]10.1886","336802","1","Directed","Theodor Herzl–Generalprobe von Maria und Magdalena, [4.?]10.1886","1"
"Theodor Herzl","11673","Hochzeit von Helene Altmann und Julius Schnitzler, 8.7.1894","298917","3","Directed","Theodor Herzl–Hochzeit von Helene Altmann und Julius Schnitzler, 8.7.1894","1"
"Theodor Herzl","11673","Aufführung von Die Brillanten-Königin, 30.3.1895","298732","1","Directed","Theodor Herzl–Aufführung von Die Brillanten-Königin, 30.3.1895","1"
"Theodor Herzl","11673","Premiere von Magda, 13.2.1895","298660","1","Directed","Theodor Herzl–Premiere von Magda, 13.2.1895","1"
"Theodor Herzl","11673","Premiere von Die Sündfluth, 7.10.1893","208619","1","Directed","Theodor Herzl–Premiere von Die Sündfluth, 7.10.1893","1"
"Theodor Herzl","11673","Lesung aus Also sprach eine Frau! (Elsbeth Meyer-Förster) und von Lieutenant Gustl (Arthur Schnitzler), 23.11.1900","183233","1","Directed","Theodor Herzl–Lesung aus Also sprach eine Frau! (Elsbeth Meyer-Förster) und von Lieutenant Gustl (Arthur Schnitzler), 23.11.1900","1"
"Theodor Herzl","11673","Aufführung von Tabarin, Die Wespe, 7.5.1895","94377","1","Directed","Theodor Herzl–Aufführung von Tabarin, Die Wespe, 7.5.1895","1"
"Theodor Herzl","11673","Uraufführung von Prinzen in Genieland, 20.11.1891","63078","1","Directed","Theodor Herzl–Uraufführung von Prinzen in Genieland, 20.11.1891","1"
"Theodor Herzl","11673","Premiere von Musotte, 12.11.1892","41110","2","Directed","Theodor Herzl–Premiere von Musotte, 12.11.1892","1"
"Theodor Herzl","11673","Uraufführung von Das Märchen, 1.12.1893","35068","2","Directed","Theodor Herzl–Uraufführung von Das Märchen, 1.12.1893","1"
