Source,SourceID,Lat-Long-Sender,Target,TargetID,Lat-Long-Receiver,Type,Label,Weight
"Wien","50","48,208333 16,373056","Volkstheater","20","48,205142 16,3566","Directed","Wien–Volkstheater","1"
"Halle (Saale)","140","51,48158 11,97947","Halle (Saale)","140","51,48158 11,97947","Directed","Halle (Saale)–Halle (Saale)","1"
"Halle (Saale)","140","51,48158 11,97947","III., Landstraße","53","48,19811 16,39482","Directed","Halle (Saale)–III., Landstraße","1"
"I., Innere Stadt","51","48,20769 16,37049","Südbahnhotel [Semmering]","413","47,647222 15,83","Directed","I., Innere Stadt–Südbahnhotel [Semmering]","1"
"Nürnberger Bratwurst Glöckl am Dom","335089","48,138143 11,574129","München","45258","48,13743 11,57549","Directed","Nürnberger Bratwurst Glöckl am Dom–München","1"
"Hotel Kongen af Danmark","40903","55,676944 12,586111","Stockholm","1119","59,325 18,05","Directed","Hotel Kongen af Danmark–Stockholm","1"
"Brijuni","45260","44,91417 13,76222","Blankenese","1226","53,5652 9,7972","Directed","Brijuni–Blankenese","1"
"Bernried","47503","47,86604 11,29386","Wien","50","48,208333 16,373056","Directed","Bernried–Wien","2"
"Wien","50","48,208333 16,373056","Kremsmünster","48393","48,05301 14,12842","Directed","Wien–Kremsmünster","1"
"Helsingør","726","56,03606 12,6136","Rodaun","173","48,132793312328 16,256152195922","Directed","Helsingør–Rodaun","1"
"Hannover","890","52,37052 9,73322","Hannover","890","52,37052 9,73322","Directed","Hannover–Hannover","1"
"Hannover","890","52,37052 9,73322","Sternwartestraße 71","168815","48,23188 16,33716","Directed","Hannover–Sternwartestraße 71","1"
"Las Palmas de Gran Canaria","44097","28,09973 -15,41343","Las Palmas de Gran Canaria","44097","28,09973 -15,41343","Directed","Las Palmas de Gran Canaria–Las Palmas de Gran Canaria","2"
"Las Palmas de Gran Canaria","44097","28,09973 -15,41343","Hasenauerstraße 59","235251","48,23365 16,33494","Directed","Las Palmas de Gran Canaria–Hasenauerstraße 59","1"
"Kärntnerring 12/Bösendorferstraße 11","167805","48,20143 16,37196","IV., Wieden","54","48,19198 16,36714","Directed","Kärntnerring 12/Bösendorferstraße 11–IV., Wieden","1"
"IV., Wieden","54","48,19198 16,36714","Bad Ischl","213","47,71109 13,61893","Directed","IV., Wieden–Bad Ischl","1"
"Niagara Falls","143780","43,0945 -79,05671","Buffalo","45769","42,88645 -78,87837","Directed","Niagara Falls–Buffalo","1"
"Buffalo","45769","42,88645 -78,87837","Sternwartestraße 71","168815","48,23188 16,33716","Directed","Buffalo–Sternwartestraße 71","1"
"Hallein","44258","47,68333 13,1","Rodaun","173","48,132793312328 16,256152195922","Directed","Hallein–Rodaun","1"
"Rom","445","41,89193 12,51133","Willergasse 2","231810","48,139276 16,257741","Directed","Rom–Willergasse 2","1"
"Wien","50","48,208333 16,373056","Villa Heufler","467","46,54555 11,560026","Directed","Wien–Villa Heufler","1"
"Frascati","40272","41,8091 12,67942","Frankgasse 1","168934","48,21533 16,35736","Directed","Frascati–Frankgasse 1","1"
"Grundlsee [Gemeinde]","46000","47,61667 13,81667","Wien","50","48,208333 16,373056","Directed","Grundlsee [Gemeinde]–Wien","2"
"Wien","50","48,208333 16,373056","Skodsborg","958","55,8225 12,57324","Directed","Wien–Skodsborg","1"
"Marrakesh","36524","31,63416 -7,99994","Sternwartestraße 71","168815","48,23188 16,33716","Directed","Marrakesh–Sternwartestraße 71","1"
"Leipzig","864","51,33962 12,37129","9/3 Post- und Telegraphenamt 72","365208","48,216197 16,356623","Directed","Leipzig–9/3 Post- und Telegraphenamt 72","1"
"Schifflände","42505","47,36834 8,5449","Limmatquai","42503","47,372003 8,542824","Directed","Schifflände–Limmatquai","1"
"Limmatquai","42503","47,372003 8,542824","9/3 Post- und Telegraphenamt 72","365208","48,216197 16,356623","Directed","Limmatquai–9/3 Post- und Telegraphenamt 72","1"
"Marienlyst","959","56,042028 12,601917","Kopenhagen","36300","55,67594 12,56553","Directed","Marienlyst–Kopenhagen","2"
"Brijuni","45260","44,91417 13,76222","St. Moritz","44374","46,49937 9,84327","Directed","Brijuni–St. Moritz","1"
"Florenz","263","43,77925 11,24626","Wiesbaden","883","50,08258 8,24932","Directed","Florenz–Wiesbaden","1"
"Braunwald","44880","46,94159 8,99643","Wien","50","48,208333 16,373056","Directed","Braunwald–Wien","1"
"Heiligenblut am Großglockner","90843","47,03979 12,84345","Heiligenblut am Großglockner","90843","47,03979 12,84345","Directed","Heiligenblut am Großglockner–Heiligenblut am Großglockner","1"
