Source,SourceID,Lat-Long-Sender,Target,TargetID,Lat-Long-Receiver,Type,Label,Weight
"Salzburg","30","47,80067 13,04532","Helsingør","726","56,03606 12,6136","Directed","Salzburg–Helsingør","1"
"Vahrn","946","46,73901 11,63749","Pörtschach","44278","47,02251 14,47783","Directed","Vahrn–Pörtschach","5"
"St. Anton am Arlberg","212","47,1275 10,26372","Wien","50","48,2066 16,37341","Directed","St. Anton am Arlberg–Wien","3"
"St. Gilgen","33","47,76667 13,36667","Wien","50","48,2066 16,37341","Directed","St. Gilgen–Wien","15"
"Wien","50","48,2066 16,37341","London","224","51,50853 -0,12574","Directed","Wien–London","4"
"Seis am Schlern","988","46,54133 11,55868","Wien","50","48,2066 16,37341","Directed","Seis am Schlern–Wien","4"
"Breitenstein am Semmering","36503","47,65949 15,82151","Wien","50","48,2066 16,37341","Directed","Breitenstein am Semmering–Wien","1"
"Brügge","36460","51,20892 3,22424","Wien","50","48,2066 16,37341","Directed","Brügge–Wien","1"
"Rovereto","100867","45,886444 11,045222","Wien","50","48,2066 16,37341","Directed","Rovereto–Wien","1"
"Wien","50","48,2066 16,37341","Zistersdorf","44400","48,53585 16,75613","Directed","Wien–Zistersdorf","8"
"Biarritz","62045","43,48055 -1,55684","Wien","50","48,2066 16,37341","Directed","Biarritz–Wien","1"
"Wien","50","48,2066 16,37341","Venedig","462","45,43713 12,33265","Directed","Wien–Venedig","3"
"Wien","50","48,2066 16,37341","Kopenhagen","36300","55,67594 12,56553","Directed","Wien–Kopenhagen","27"
"Rodaun","173","48,132793312328 16,256152195922","Hinterbrühl","75","48,08611 16,24809","Directed","Rodaun–Hinterbrühl","1"
"Wartburg","143185","50,96605 10,30646","Wien","50","48,2066 16,37341","Directed","Wartburg–Wien","1"
"Lugano","885","46,01008 8,96004","Bologna","896","44,49381 11,33875","Directed","Lugano–Bologna","1"
"Berlin","168","52,52437 13,41053","Reichenau an der Rax","483","47,7 15,83333","Directed","Berlin–Reichenau an der Rax","2"
"Riva del Garda","465","45,88576 10,84118","Riva del Garda","465","45,88576 10,84118","Directed","Riva del Garda–Riva del Garda","1"
"Heidelberg","882","49,40768 8,69079","Wien","50","48,2066 16,37341","Directed","Heidelberg–Wien","1"
"Bad Ischl","213","47,71109 13,61893","Garmisch-Partenkirchen","667","47,49209 11,09576","Directed","Bad Ischl–Garmisch-Partenkirchen","2"
"Hodonín","49823","48,84893 17,13244","Bad Ischl","213","47,71109 13,61893","Directed","Hodonín–Bad Ischl","1"
"Bad Fusch","573","47,2003 12,85589","Seis am Schlern","988","46,54133 11,55868","Directed","Bad Fusch–Seis am Schlern","1"
"Sand in Taufers","46965","46,90844 11,96036","Pörtschach","44278","47,02251 14,47783","Directed","Sand in Taufers–Pörtschach","1"
"St. Gilgen","33","47,76667 13,36667","Semmering","189","47,64224 15,8241","Directed","St. Gilgen–Semmering","3"
"St. Anton am Arlberg","212","47,1275 10,26372","Pörtschach","44278","47,02251 14,47783","Directed","St. Anton am Arlberg–Pörtschach","2"
"Wien","50","48,2066 16,37341","Znaim","33978","48,8555 16,0488","Directed","Wien–Znaim","1"
"Mailand","886","45,46427 9,18951","Wiesbaden","883","50,08258 8,24932","Directed","Mailand–Wiesbaden","1"
"Wien","50","48,2066 16,37341","Semmering","189","47,64224 15,8241","Directed","Wien–Semmering","6"
"Brüssel","862","50,85045 4,34878","Wien","50","48,2066 16,37341","Directed","Brüssel–Wien","7"
"Olomouc","44176","49,59552 17,25175","Wien","50","48,2066 16,37341","Directed","Olomouc–Wien","1"
"Shanghai","37885","31,22222 121,45806","Wien","50","48,2066 16,37341","Directed","Shanghai–Wien","2"
"Unterach am Attersee","877","47,80494 13,48728","Berchtesgaden","797","47,63236 13,00187","Directed","Unterach am Attersee–Berchtesgaden","1"
"Wien","50","48,2066 16,37341","Rodaun","173","48,132793312328 16,256152195922","Directed","Wien–Rodaun","40"
"Dubrovnik","682","42,64807 18,09216","Wien","50","48,2066 16,37341","Directed","Dubrovnik–Wien","4"
"Unbekannt","nicht vorhanden","nicht vorhanden","Berlin","168","52,52437 13,41053","Directed","Unbekannt–Berlin","3"
"Port Said","118675","31,26803 32,30131","Wien","50","48,2066 16,37341","Directed","Port Said–Wien","1"
"Dresden","866","51,0833 13,7666","Wien","50","48,2066 16,37341","Directed","Dresden–Wien","4"
"Frankfurt am Main","146","50,11552 8,68417","Velden am Wörthersee","909","46,61901 14,03129","Directed","Frankfurt am Main–Velden am Wörthersee","1"
"Singapur","118677","1,35335 103,86454","Wien","50","48,2066 16,37341","Directed","Singapur–Wien","1"
"Wien","50","48,2066 16,37341","Marienbad","772","49,96115 12,72872","Directed","Wien–Marienbad","2"
"Jaffa","51650","32,05043 34,75224","Wien","50","48,2066 16,37341","Directed","Jaffa–Wien","1"
"Lüttich","272","50,63373 5,56749","Wien","50","48,2066 16,37341","Directed","Lüttich–Wien","1"
"Zistersdorf","44400","48,53585 16,75613","Wien","50","48,2066 16,37341","Directed","Zistersdorf–Wien","7"
"Paris","182","48,85341 2,3488","München","45258","48,13743 11,57549","Directed","Paris–München","1"
"Lindau am Bodensee","986","47,54612 9,68431","Wien","50","48,2066 16,37341","Directed","Lindau am Bodensee–Wien","1"
"Arosa","43995","46,77793 9,67621","Wien","50","48,2066 16,37341","Directed","Arosa–Wien","1"
"Wien","50","48,2066 16,37341","Unterach am Attersee","877","47,80494 13,48728","Directed","Wien–Unterach am Attersee","3"
"Florenz","263","43,77925 11,24626","Wien","50","48,2066 16,37341","Directed","Florenz–Wien","9"
"St. Anton am Arlberg","212","47,1275 10,26372","Kopenhagen","36300","55,67594 12,56553","Directed","St. Anton am Arlberg–Kopenhagen","1"
"Unbekannt","nicht vorhanden","nicht vorhanden","Vahrn","946","46,73901 11,63749","Directed","Unbekannt–Vahrn","1"
"Wien","50","48,2066 16,37341","Salzburg","30","47,80067 13,04532","Directed","Wien–Salzburg","14"
"Vrádište","34498","48,82361 17,19093","Wien","50","48,2066 16,37341","Directed","Vrádište–Wien","2"
"Seis am Schlern","988","46,54133 11,55868","Strobl","895","47,71667 13,48333","Directed","Seis am Schlern–Strobl","1"
"Bad Ischl","213","47,71109 13,61893","Skodsborg","958","55,8225 12,57324","Directed","Bad Ischl–Skodsborg","2"
"Hodonín","49823","48,84893 17,13244","Wien","50","48,2066 16,37341","Directed","Hodonín–Wien","1"
"Brighton","36448","50,82838 -0,13947","Wien","50","48,2066 16,37341","Directed","Brighton–Wien","1"
"Wien","50","48,2066 16,37341","Čáslav","767","49,91099 15,38972","Directed","Wien–Čáslav","4"
"Berlin","168","52,52437 13,41053","Bad Aussee","415","47,60998 13,78243","Directed","Berlin–Bad Aussee","1"
"Lavarone","461","45,93632 11,27206","Wien","50","48,2066 16,37341","Directed","Lavarone–Wien","2"
"Alpnachstad","36232","46,95317 8,2776","Lugano","885","46,01008 8,96004","Directed","Alpnachstad–Lugano","1"
"Wien","50","48,2066 16,37341","Paris","182","48,85341 2,3488","Directed","Wien–Paris","11"
"Lauffen","35658","47,67203 13,61438","Wien","50","48,2066 16,37341","Directed","Lauffen–Wien","2"
"Sterzing","40302","46,89313 11,42961","Wien","50","48,2066 16,37341","Directed","Sterzing–Wien","1"
"Matrei am Brenner","591","47,12852 11,45222","Wien","50","48,2066 16,37341","Directed","Matrei am Brenner–Wien","1"
"Weimar","197","50,97361 11,33806","Wien","50","48,2066 16,37341","Directed","Weimar–Wien","3"
"Berlin","168","52,52437 13,41053","Unbekannt","nicht vorhanden","nicht vorhanden","Directed","Berlin–Unbekannt","2"
"Lugano","885","46,01008 8,96004","Wien","50","48,2066 16,37341","Directed","Lugano–Wien","2"
"Marienbad","772","49,96115 12,72872","Bad Ischl","213","47,71109 13,61893","Directed","Marienbad–Bad Ischl","1"
"Salzburg","30","47,80067 13,04532","Bad Ischl","213","47,71109 13,61893","Directed","Salzburg–Bad Ischl","3"
"Bad Gastein","521","47,11547 13,13467","Wien","50","48,2066 16,37341","Directed","Bad Gastein–Wien","3"
"Andorf","1248","48,3713 13,57412","Wien","50","48,2066 16,37341","Directed","Andorf–Wien","1"
"Kopenhagen","36300","55,67594 12,56553","Berlin","168","52,52437 13,41053","Directed","Kopenhagen–Berlin","1"
"Vahrn","946","46,73901 11,63749","Kopenhagen","36300","55,67594 12,56553","Directed","Vahrn–Kopenhagen","1"
"Weimar","197","50,97361 11,33806","Rodaun","173","48,132793312328 16,256152195922","Directed","Weimar–Rodaun","1"
"Neapel","595","40,85216 14,26811","Wien","50","48,2066 16,37341","Directed","Neapel–Wien","4"
"Den Haag","58810","52,07667 4,29861","Wien","50","48,2066 16,37341","Directed","Den Haag–Wien","3"
"Bad Fusch","573","47,2003 12,85589","Bad Ischl","213","47,71109 13,61893","Directed","Bad Fusch–Bad Ischl","3"
"Amsterdam","40709","52,37403 4,88969","Wien","50","48,2066 16,37341","Directed","Amsterdam–Wien","3"
"Frankfurt am Main","146","50,11552 8,68417","Toblach","987","46,72493 12,22109","Directed","Frankfurt am Main–Toblach","1"
"Montreux","40482","46,45179 6,94084","Wien","50","48,2066 16,37341","Directed","Montreux–Wien","2"
"Bad Ischl","213","47,71109 13,61893","Bad Aussee","415","47,60998 13,78243","Directed","Bad Ischl–Bad Aussee","1"
"Tremezzo","91936","45,98423 9,21613","Wien","50","48,2066 16,37341","Directed","Tremezzo–Wien","1"
"Grundlsee (Gemeinde)","46000","47,61667 13,81667","Wien","50","48,2066 16,37341","Directed","Grundlsee (Gemeinde)–Wien","2"
"Orahovica","42960","45,54 17,88472","Seeboden","34824","46,83649 13,52346","Directed","Orahovica–Seeboden","1"
"Niagara Falls","143780","43,0945 -79,05671","Wien","50","48,2066 16,37341","Directed","Niagara Falls–Wien","1"
"Qingdao","118680","36,09193 120,328056","Wien","50","48,2066 16,37341","Directed","Qingdao–Wien","1"
"Yantai","118678","37,4725 121,45042","Wien","50","48,2066 16,37341","Directed","Yantai–Wien","3"
"San Francisco","38216","37,77493 -122,41942","Wien","50","48,2066 16,37341","Directed","San Francisco–Wien","1"
"Athen","505","37,97945 23,71622","Wien","50","48,2066 16,37341","Directed","Athen–Wien","1"
"Villach","40454","46,61254 13,8529","Wien","50","48,2066 16,37341","Directed","Villach–Wien","1"
"Unbekannt","nicht vorhanden","nicht vorhanden","Unbekannt","nicht vorhanden","nicht vorhanden","Directed","Unbekannt–Unbekannt","15"
"Bad Aussee","415","47,60998 13,78243","Bad Ischl","213","47,71109 13,61893","Directed","Bad Aussee–Bad Ischl","3"
"Bad Ischl","213","47,71109 13,61893","Bad Fusch","573","47,2003 12,85589","Directed","Bad Ischl–Bad Fusch","3"
"Köln","145","50,93835 6,95427","Wien","50","48,2066 16,37341","Directed","Köln–Wien","1"
"Pompei","1283","40,750556 14,489722","Wien","50","48,2066 16,37341","Directed","Pompei–Wien","1"
"IV., Wieden","54","48,19198 16,36714","XVIII., Währing","68","48,23333 16,31667","Directed","IV., Wieden–XVIII., Währing","1"
"Pörtschach","44278","47,02251 14,47783","Unbekannt","nicht vorhanden","nicht vorhanden","Directed","Pörtschach–Unbekannt","2"
"Bayreuth","734","49,94782 11,57893","Helsingør","726","56,03606 12,6136","Directed","Bayreuth–Helsingør","1"
"Wien","50","48,2066 16,37341","Czernowitz","976","48,29149 25,94034","Directed","Wien–Czernowitz","1"
"Las Palmas de Gran Canaria","44097","28,09973 -15,41343","Wien","50","48,2066 16,37341","Directed","Las Palmas de Gran Canaria–Wien","1"
"Welsberg-Taisten","428","46,75774 12,10556","Wien","50","48,2066 16,37341","Directed","Welsberg-Taisten–Wien","2"
"Wien","50","48,2066 16,37341","Seis am Schlern","988","46,54133 11,55868","Directed","Wien–Seis am Schlern","1"
"Solin","453","43,5 16,5","Wien","50","48,2066 16,37341","Directed","Solin–Wien","2"
"Bad Ischl","213","47,71109 13,61893","Hodonín","49823","48,84893 17,13244","Directed","Bad Ischl–Hodonín","1"
"Bad Ischl","213","47,71109 13,61893","Marienbad","772","49,96115 12,72872","Directed","Bad Ischl–Marienbad","1"
"Hinterbrühl","75","48,08611 16,24809","Wien","50","48,2066 16,37341","Directed","Hinterbrühl–Wien","5"
"Bansin","147498","53,95988 14,12954","Marienlyst","959","56,042028 12,601917","Directed","Bansin–Marienlyst","1"
"Salzburg","30","47,80067 13,04532","Rodaun","173","48,132793312328 16,256152195922","Directed","Salzburg–Rodaun","2"
"Bologna","896","44,49381 11,33875","Wien","50","48,2066 16,37341","Directed","Bologna–Wien","3"
"Brijuni","45260","44,91417 13,76222","Venedig","462","45,43713 12,33265","Directed","Brijuni–Venedig","1"
"Sankt Moritz","44374","46,49937 9,84327","Wien","50","48,2066 16,37341","Directed","Sankt Moritz–Wien","5"
"Nordsee","118890","55,33333 3,0","Wien","50","48,2066 16,37341","Directed","Nordsee–Wien","1"
"Fulpmes","985","47,15202 11,34922","Wien","50","48,2066 16,37341","Directed","Fulpmes–Wien","2"
"Wien","50","48,2066 16,37341","München","45258","48,13743 11,57549","Directed","Wien–München","13"
"Gainfarn","41007","47,9628 16,19368","Wien","50","48,2066 16,37341","Directed","Gainfarn–Wien","1"
"Bansin","147498","53,95988 14,12954","Wien","50","48,2066 16,37341","Directed","Bansin–Wien","1"
"Berlin","168","52,52437 13,41053","Altaussee","34401","47,6698 13,78453","Directed","Berlin–Altaussee","1"
"Wien","50","48,2066 16,37341","Hinterbrühl","75","48,08611 16,24809","Directed","Wien–Hinterbrühl","3"
"Wien","50","48,2066 16,37341","Tutzing","44493","47,90938 11,2803","Directed","Wien–Tutzing","1"
"Berlin","168","52,52437 13,41053","Baden bei Wien","662","48,00543 16,23264","Directed","Berlin–Baden bei Wien","1"
"Znojmo","33976","48,85024 16,04869","Wien","50","48,2066 16,37341","Directed","Znojmo–Wien","1"
"Riva del Garda","465","45,88576 10,84118","Wien","50","48,2066 16,37341","Directed","Riva del Garda–Wien","2"
