Source,SID,Target,TID,Overallcount,Type,Label,Weight
"Paul Goldmann","11485","Benjamin Constant","15088","1","Directed","Paul Goldmann–Benjamin Constant","1"
"Paul Goldmann","11485","Eduard Douwes Dekker","15285","1","Directed","Paul Goldmann–Eduard Douwes Dekker","1"
"Paul Goldmann","11485","Maxime Dethomas","15343","1","Directed","Paul Goldmann–Maxime Dethomas","1"
"Paul Goldmann","11485","Anna Donath","15430","1","Directed","Paul Goldmann–Anna Donath","1"
"Paul Goldmann","11485","Peter Dorner","15445","5","Directed","Paul Goldmann–Peter Dorner","5"
"Paul Goldmann","11485","Anthonis van Dyck","15581","1","Directed","Paul Goldmann–Anthonis van Dyck","1"
"Paul Goldmann","11485","Emil Dürer","15611","1","Directed","Paul Goldmann–Emil Dürer","1"
"Paul Goldmann","11485","Eduard VII.","15665","1","Directed","Paul Goldmann–Eduard VII.","1"
"Paul Goldmann","11485","Siegmund Feldmann","16153","2","Directed","Paul Goldmann–Siegmund Feldmann","2"
"Paul Goldmann","11485","Hermann Freudenthal","16557","2","Directed","Paul Goldmann–Hermann Freudenthal","2"
"Paul Goldmann","11485","Rosa Freudenthal","16560","9","Directed","Paul Goldmann–Rosa Freudenthal","5"
"Paul Goldmann","11485","Louis Philipp Friedmann","16658","3","Directed","Paul Goldmann–Louis Philipp Friedmann","1"
"Paul Goldmann","11485","Berthold Frischauer","16710","5","Directed","Paul Goldmann–Berthold Frischauer","5"
"Paul Goldmann","11485","Margarethe Fränkel","16748","1","Directed","Paul Goldmann–Margarethe Fränkel","1"
"Paul Goldmann","11485","Isidor Fuchs","16781","4","Directed","Paul Goldmann–Isidor Fuchs","4"
"Paul Goldmann","11485","Clementine Goldmann","17163","35","Directed","Paul Goldmann–Clementine Goldmann","34"
"Paul Goldmann","11485","Eva Marie Goldmann","17164","17","Directed","Paul Goldmann–Eva Marie Goldmann","17"
"Paul Goldmann","11485","Franziska Goldmann","17167","6","Directed","Paul Goldmann–Franziska Goldmann","6"
"Paul Goldmann","11485","Karl Goldmann","17169","1","Directed","Paul Goldmann–Karl Goldmann","1"
"Paul Goldmann","11485","Ernest von Gréger-Jurco","17461","3","Directed","Paul Goldmann–Ernest von Gréger-Jurco","3"
"Paul Goldmann","11485","Rudolf Gussmann","17554","4","Directed","Paul Goldmann–Rudolf Gussmann","4"
"Paul Goldmann","11485","Frans Hals","17766","1","Directed","Paul Goldmann–Frans Hals","1"
"Paul Goldmann","11485","Hauser","17951","2","Directed","Paul Goldmann–Hauser","2"
"Paul Goldmann","11485","Jeanette Heeger","18007","2","Directed","Paul Goldmann–Jeanette Heeger","2"
"Paul Goldmann","11485","Paul Ernest Hervieu","18201","2","Directed","Paul Goldmann–Paul Ernest Hervieu","1"
"Paul Goldmann","11485","Monty Jacobs","18721","1","Directed","Paul Goldmann–Monty Jacobs","1"
"Paul Goldmann","11485","Jaques Joachim","18870","6","Directed","Paul Goldmann–Jaques Joachim","4"
"Paul Goldmann","11485","Adele Kapper","19096","1","Directed","Paul Goldmann–Adele Kapper","1"
"Paul Goldmann","11485","Friedrich Kapper","19106","12","Directed","Paul Goldmann–Friedrich Kapper","10"
"Paul Goldmann","11485","Bertha Karlsburg","19143","6","Directed","Paul Goldmann–Bertha Karlsburg","1"
"Paul Goldmann","11485","Helene Keßler","19296","1","Directed","Paul Goldmann–Helene Keßler","1"
"Paul Goldmann","11485","Arthur Klein","19386","5","Directed","Paul Goldmann–Arthur Klein","5"
"Paul Goldmann","11485","Richard Klein","19419","5","Directed","Paul Goldmann–Richard Klein","3"
"Paul Goldmann","11485","Arthur Kuttner","19904","1","Directed","Paul Goldmann–Arthur Kuttner","1"
"Paul Goldmann","11485","Leopold Ferdinand Salvator Wölfling","20328","3","Directed","Paul Goldmann–Leopold Ferdinand Salvator Wölfling","1"
"Paul Goldmann","11485","Willy Loehr","20559","1","Directed","Paul Goldmann–Willy Loehr","1"
"Paul Goldmann","11485","Margarethe Manassewitsch","20861","2","Directed","Paul Goldmann–Margarethe Manassewitsch","1"
"Paul Goldmann","11485","Richard Mandl","20914","4","Directed","Paul Goldmann–Richard Mandl","2"
