Source,SID,Target,TID,Type,Label,Weight
"Richard Beer-Hofmann","10863","Max Eugen Burckhard","11036","Directed","Richard Beer-Hofmann–Max Eugen Burckhard","12"
"Richard Beer-Hofmann","10863","Samuel Fischer","11324","Directed","Richard Beer-Hofmann–Samuel Fischer","10"
"Richard Beer-Hofmann","10863","Theodor Herzl","11673","Directed","Richard Beer-Hofmann–Theodor Herzl","3"
"Richard Beer-Hofmann","10863","Alfred Kerr","11910","Directed","Richard Beer-Hofmann–Alfred Kerr","11"
"Richard Beer-Hofmann","10863","Frieda Pollak","22728","Directed","Richard Beer-Hofmann–Frieda Pollak","3"
"Richard Beer-Hofmann","10863","Julius Schnitzler","12698","Directed","Richard Beer-Hofmann–Julius Schnitzler","9"
"Richard Beer-Hofmann","10863","Johann Wolfgang von Goethe","11461","Directed","Richard Beer-Hofmann–Johann Wolfgang von Goethe","2"
"Richard Beer-Hofmann","10863","Elisabeth Steinrück","2315","Directed","Richard Beer-Hofmann–Elisabeth Steinrück","9"
"Richard Beer-Hofmann","10863","Paul Schlenther","12671","Directed","Richard Beer-Hofmann–Paul Schlenther","8"
"Richard Beer-Hofmann","10863","Jakob Wassermann","13055","Directed","Richard Beer-Hofmann–Jakob Wassermann","6"
"Richard Beer-Hofmann","10863","Georg Hirschfeld","11701","Directed","Richard Beer-Hofmann–Georg Hirschfeld","12"
"Richard Beer-Hofmann","10863","Arthur Schnitzler","2121","Directed","Richard Beer-Hofmann–Arthur Schnitzler","5"
"Georg Brandes","10992","Olga Schnitzler","2173","Directed","Georg Brandes–Olga Schnitzler","22"
"Georg Brandes","10992","Richard Beer-Hofmann","10863","Directed","Georg Brandes–Richard Beer-Hofmann","28"
"Georg Brandes","10992","Hugo von Hofmannsthal","11740","Directed","Georg Brandes–Hugo von Hofmannsthal","5"
"Georg Brandes","10992","Hermann Bahr","10815","Directed","Georg Brandes–Hermann Bahr","1"
"Georg Brandes","10992","Paul Goldmann","11485","Directed","Georg Brandes–Paul Goldmann","10"
"Georg Brandes","10992","Felix Salten","2167","Directed","Georg Brandes–Felix Salten","2"
"Georg Brandes","10992","Paula Beer-Hofmann","10860","Directed","Georg Brandes–Paula Beer-Hofmann","3"
"Georg Brandes","10992","Heinrich Schnitzler","12692","Directed","Georg Brandes–Heinrich Schnitzler","12"
"Georg Brandes","10992","Otto Brahm","10986","Directed","Georg Brandes–Otto Brahm","2"
"Georg Brandes","10992","Louise Schnitzler","12701","Directed","Georg Brandes–Louise Schnitzler","6"
"Georg Brandes","10992","Marie Reinhard","2378","Directed","Georg Brandes–Marie Reinhard","1"
"Georg Brandes","10992","Johann Wolfgang von Goethe","11461","Directed","Georg Brandes–Johann Wolfgang von Goethe","12"
"Georg Brandes","10992","Elisabeth Steinrück","2315","Directed","Georg Brandes–Elisabeth Steinrück","1"
"Georg Brandes","10992","Paul Schlenther","12671","Directed","Georg Brandes–Paul Schlenther","1"
"Georg Brandes","10992","Jakob Wassermann","13055","Directed","Georg Brandes–Jakob Wassermann","5"
"Georg Brandes","10992","Georg Hirschfeld","11701","Directed","Georg Brandes–Georg Hirschfeld","1"
"Felix Braun","11002","Olga Schnitzler","2173","Directed","Felix Braun–Olga Schnitzler","1"
"Felix Braun","11002","Johann Wolfgang von Goethe","11461","Directed","Felix Braun–Johann Wolfgang von Goethe","1"
"Max Eugen Burckhard","11036","Olga Schnitzler","2173","Directed","Max Eugen Burckhard–Olga Schnitzler","11"
"Max Eugen Burckhard","11036","Heinrich Schnitzler","12692","Directed","Max Eugen Burckhard–Heinrich Schnitzler","2"
"Max Eugen Burckhard","11036","Otto Brahm","10986","Directed","Max Eugen Burckhard–Otto Brahm","1"
"Max Eugen Burckhard","11036","Louise Schnitzler","12701","Directed","Max Eugen Burckhard–Louise Schnitzler","1"
"Wilhelm Bölsche","11061","Otto Brahm","10986","Directed","Wilhelm Bölsche–Otto Brahm","2"
"Wilhelm Bölsche","11061","Samuel Fischer","11324","Directed","Wilhelm Bölsche–Samuel Fischer","1"
"Richard Dehmel","11148","Olga Schnitzler","2173","Directed","Richard Dehmel–Olga Schnitzler","2"
"Richard Dehmel","11148","Samuel Fischer","11324","Directed","Richard Dehmel–Samuel Fischer","1"
"Richard Dehmel","11148","Paul Schlenther","12671","Directed","Richard Dehmel–Paul Schlenther","1"
"Richard Dehmel","11148","Jakob Wassermann","13055","Directed","Richard Dehmel–Jakob Wassermann","1"
"Albert Ehrenstein","11230","Olga Schnitzler","2173","Directed","Albert Ehrenstein–Olga Schnitzler","2"
"Albert Ehrenstein","11230","Hugo von Hofmannsthal","11740","Directed","Albert Ehrenstein–Hugo von Hofmannsthal","1"
"Albert Ehrenstein","11230","Samuel Fischer","11324","Directed","Albert Ehrenstein–Samuel Fischer","3"
"Albert Ehrenstein","11230","Johann Wolfgang von Goethe","11461","Directed","Albert Ehrenstein–Johann Wolfgang von Goethe","1"
"Friedrich M. Fels","2450","Richard Beer-Hofmann","10863","Directed","Friedrich M. Fels–Richard Beer-Hofmann","10"
"Friedrich M. Fels","2450","Hugo von Hofmannsthal","11740","Directed","Friedrich M. Fels–Hugo von Hofmannsthal","7"
"Friedrich M. Fels","2450","Hermann Bahr","10815","Directed","Friedrich M. Fels–Hermann Bahr","2"
"Friedrich M. Fels","2450","Felix Salten","2167","Directed","Friedrich M. Fels–Felix Salten","3"
"Stefan Grossmann","11527","Felix Salten","2167","Directed","Stefan Grossmann–Felix Salten","1"
"Stefan Grossmann","11527","Otto Brahm","10986","Directed","Stefan Grossmann–Otto Brahm","1"
"Stefan Grossmann","11527","Samuel Fischer","11324","Directed","Stefan Grossmann–Samuel Fischer","2"
"Gerhart Hauptmann","11617","Hugo von Hofmannsthal","11740","Directed","Gerhart Hauptmann–Hugo von Hofmannsthal","2"
"Gerhart Hauptmann","11617","Hermann Bahr","10815","Directed","Gerhart Hauptmann–Hermann Bahr","1"
"Gerhart Hauptmann","11617","Otto Brahm","10986","Directed","Gerhart Hauptmann–Otto Brahm","3"
"Gerhart Hauptmann","11617","Isidor Singer","12790","Directed","Gerhart Hauptmann–Isidor Singer","2"
"Gerhart Hauptmann","11617","Max Eugen Burckhard","11036","Directed","Gerhart Hauptmann–Max Eugen Burckhard","1"
"Gerhart Hauptmann","11617","Samuel Fischer","11324","Directed","Gerhart Hauptmann–Samuel Fischer","1"
"Hugo von Hofmannsthal","11740","Olga Schnitzler","2173","Directed","Hugo von Hofmannsthal–Olga Schnitzler","59"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","Directed","Hugo von Hofmannsthal–Richard Beer-Hofmann","127"
"Hugo von Hofmannsthal","11740","Hermann Bahr","10815","Directed","Hugo von Hofmannsthal–Hermann Bahr","49"
"Hugo von Hofmannsthal","11740","Paul Goldmann","11485","Directed","Hugo von Hofmannsthal–Paul Goldmann","32"
"Hugo von Hofmannsthal","11740","Felix Salten","2167","Directed","Hugo von Hofmannsthal–Felix Salten","36"
"Hugo von Hofmannsthal","11740","Paula Beer-Hofmann","10860","Directed","Hugo von Hofmannsthal–Paula Beer-Hofmann","6"
"Hugo von Hofmannsthal","11740","Heinrich Schnitzler","12692","Directed","Hugo von Hofmannsthal–Heinrich Schnitzler","17"
"Hugo von Hofmannsthal","11740","Otto Brahm","10986","Directed","Hugo von Hofmannsthal–Otto Brahm","34"
"Hugo von Hofmannsthal","11740","Gustav Schwarzkopf","12740","Directed","Hugo von Hofmannsthal–Gustav Schwarzkopf","23"
"Hugo von Hofmannsthal","11740","Ottilie Salten","23918","Directed","Hugo von Hofmannsthal–Ottilie Salten","1"
"Hugo von Hofmannsthal","11740","Fedor Mamroth","4986","Directed","Hugo von Hofmannsthal–Fedor Mamroth","2"
"Hugo von Hofmannsthal","11740","Louise Schnitzler","12701","Directed","Hugo von Hofmannsthal–Louise Schnitzler","11"
"Hugo von Hofmannsthal","11740","Heinrich Kanner","11867","Directed","Hugo von Hofmannsthal–Heinrich Kanner","2"
"Hugo von Hofmannsthal","11740","Isidor Singer","12790","Directed","Hugo von Hofmannsthal–Isidor Singer","2"
"Hugo von Hofmannsthal","11740","Marie Reinhard","2378","Directed","Hugo von Hofmannsthal–Marie Reinhard","10"
"Hugo von Hofmannsthal","11740","Gertrude von Hofmannsthal","2292","Directed","Hugo von Hofmannsthal–Gertrude von Hofmannsthal","50"
"Hugo von Hofmannsthal","11740","Max Eugen Burckhard","11036","Directed","Hugo von Hofmannsthal–Max Eugen Burckhard","6"
"Hugo von Hofmannsthal","11740","Samuel Fischer","11324","Directed","Hugo von Hofmannsthal–Samuel Fischer","11"
"Hugo von Hofmannsthal","11740","Theodor Herzl","11673","Directed","Hugo von Hofmannsthal–Theodor Herzl","3"
"Hugo von Hofmannsthal","11740","Alfred Kerr","11910","Directed","Hugo von Hofmannsthal–Alfred Kerr","2"
"Hugo von Hofmannsthal","11740","Frieda Pollak","22728","Directed","Hugo von Hofmannsthal–Frieda Pollak","28"
"Hugo von Hofmannsthal","11740","Julius Schnitzler","12698","Directed","Hugo von Hofmannsthal–Julius Schnitzler","8"
"Hugo von Hofmannsthal","11740","Johann Wolfgang von Goethe","11461","Directed","Hugo von Hofmannsthal–Johann Wolfgang von Goethe","13"
"Hugo von Hofmannsthal","11740","Elisabeth Steinrück","2315","Directed","Hugo von Hofmannsthal–Elisabeth Steinrück","7"
"Hugo von Hofmannsthal","11740","Paul Schlenther","12671","Directed","Hugo von Hofmannsthal–Paul Schlenther","7"
"Hugo von Hofmannsthal","11740","Jakob Wassermann","13055","Directed","Hugo von Hofmannsthal–Jakob Wassermann","15"
"Hugo von Hofmannsthal","11740","Georg Hirschfeld","11701","Directed","Hugo von Hofmannsthal–Georg Hirschfeld","11"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","2121","Directed","Hugo von Hofmannsthal–Arthur Schnitzler","7"
