Source,CorrID,Target,WorkID,Overallcount,Type,Label,Weight
"Jakob Julius David","2416","Liebelei. Schauspiel in drei Akten","29917","131","Directed","Jakob Julius David–Liebelei. Schauspiel in drei Akten","2"
"Jakob Julius David","2416","Der grüne Kakadu – Paracelsus – Die Gefährtin. Drei Einakter","32562","28","Directed","Jakob Julius David–Der grüne Kakadu – Paracelsus – Die Gefährtin. Drei Einakter","2"
"Jakob Julius David","2416","Reigen. Zehn Dialoge","29855","55","Directed","Jakob Julius David–Reigen. Zehn Dialoge","1"
"Jakob Julius David","2416","Sterben. Novelle","30117","52","Directed","Jakob Julius David–Sterben. Novelle","1"
"Jakob Julius David","2416","Magazin für die Literatur des Auslandes","40968","6","Directed","Jakob Julius David–Magazin für die Literatur des Auslandes","1"
"Jakob Julius David","2416","Buchmacher und Künstler","44770","1","Directed","Jakob Julius David–Buchmacher und Künstler","1"
"Jakob Julius David","2416","Aus ungleichen Tagen","44774","1","Directed","Jakob Julius David–Aus ungleichen Tagen","1"
"Jakob Julius David","2416","Arthur Schnitzler","44811","2","Directed","Jakob Julius David–Arthur Schnitzler","1"
