Source,Target,Type,Label,Weight
"Marie Herzfeld","Ascanio und Gioconda","Directed","Marie Herzfeld–Ascanio und Gioconda","3"
"Marie Herzfeld","Zwischenspiel. Komödie in drei Akten","Directed","Marie Herzfeld–Zwischenspiel. Komödie in drei Akten","2"
"Marie Herzfeld","Anatol","Directed","Marie Herzfeld–Anatol","2"
"Marie Herzfeld","Die Frau des Weisen. Novelletten","Directed","Marie Herzfeld–Die Frau des Weisen. Novelletten","2"
"Marie Herzfeld","Revolutionsbryllup. Skuespil i tre Akter","Directed","Marie Herzfeld–Revolutionsbryllup. Skuespil i tre Akter","2"
"Marie Herzfeld","Der Ruf des Lebens. Schauspiel in drei Akten","Directed","Marie Herzfeld–Der Ruf des Lebens. Schauspiel in drei Akten","1"
"Marie Herzfeld","Liebelei. Schauspiel in drei Akten","Directed","Marie Herzfeld–Liebelei. Schauspiel in drei Akten","1"
"Marie Herzfeld","Dämmerseelen. Novellen","Directed","Marie Herzfeld–Dämmerseelen. Novellen","1"
"Marie Herzfeld","Der einsame Weg. Schauspiel in fünf Akten","Directed","Marie Herzfeld–Der einsame Weg. Schauspiel in fünf Akten","1"
"Marie Herzfeld","Das gerettete Venedig. Trauerspiel in fünf Aufzügen","Directed","Marie Herzfeld–Das gerettete Venedig. Trauerspiel in fünf Aufzügen","1"
"Marie Herzfeld","Romeo and Juliet","Directed","Marie Herzfeld–Romeo and Juliet","1"
"Marie Herzfeld","To Forestillinger af Henrik IV","Directed","Marie Herzfeld–To Forestillinger af Henrik IV","1"
"Marie Herzfeld","Die neue Rundschau","Directed","Marie Herzfeld–Die neue Rundschau","1"
"Marie Herzfeld","Politiken","Directed","Marie Herzfeld–Politiken","1"
"Marie Herzfeld","Venice Preserv'd","Directed","Marie Herzfeld–Venice Preserv'd","1"
"Marie Herzfeld","Corona. Zweimonatsschrift","Directed","Marie Herzfeld–Corona. Zweimonatsschrift","1"
"Marie Herzfeld","Loris. Blätter der Erinnerung","Directed","Marie Herzfeld–Loris. Blätter der Erinnerung","1"
"Marie Herzfeld","Briefe an Freunde","Directed","Marie Herzfeld–Briefe an Freunde","1"
"Marie Herzfeld","Leonardo da Vinci. Der Denker, Forscher und Poet. Nach den veröffentlichten Handschriften","Directed","Marie Herzfeld–Leonardo da Vinci. Der Denker, Forscher und Poet. Nach den veröffentlichten Handschriften","1"
"Marie Herzfeld","Hermann Bang. Eine Silhouette","Directed","Marie Herzfeld–Hermann Bang. Eine Silhouette","1"
