Source,Target,Type,Label,Weight
"Paul Goldmann","Frankfurter Zeitung","Directed","Paul Goldmann–Frankfurter Zeitung","55"
"Paul Goldmann","Liebelei. Schauspiel in drei Akten","Directed","Paul Goldmann–Liebelei. Schauspiel in drei Akten","53"
"Paul Goldmann","Der Schleier der Beatrice. Schauspiel in fünf Akten","Directed","Paul Goldmann–Der Schleier der Beatrice. Schauspiel in fünf Akten","44"
"Paul Goldmann","Neue Freie Presse","Directed","Paul Goldmann–Neue Freie Presse","25"
"Paul Goldmann","Das Märchen. Schauspiel in drei Aufzügen","Directed","Paul Goldmann–Das Märchen. Schauspiel in drei Aufzügen","24"
"Paul Goldmann","Lebendige Stunden. Vier Einakter","Directed","Paul Goldmann–Lebendige Stunden. Vier Einakter","23"
"Paul Goldmann","Freiwild. Schauspiel in 3 Akten","Directed","Paul Goldmann–Freiwild. Schauspiel in 3 Akten","22"
"Paul Goldmann","Anatol","Directed","Paul Goldmann–Anatol","22"
"Paul Goldmann","Sterben. Novelle","Directed","Paul Goldmann–Sterben. Novelle","22"
"Paul Goldmann","Die Zeit. Wiener Wochenschrift","Directed","Paul Goldmann–Die Zeit. Wiener Wochenschrift","19"
"Paul Goldmann","Amourette. Pièce en trois actes. Adaptée de Arthur Schnitzler","Directed","Paul Goldmann–Amourette. Pièce en trois actes. Adaptée de Arthur Schnitzler","14"
"Paul Goldmann","Reigen. Zehn Dialoge","Directed","Paul Goldmann–Reigen. Zehn Dialoge","11"
"Paul Goldmann","Das Vermächtnis. Schauspiel in drei Akten","Directed","Paul Goldmann–Das Vermächtnis. Schauspiel in drei Akten","11"
"Paul Goldmann","Der einsame Weg. Schauspiel in fünf Akten","Directed","Paul Goldmann–Der einsame Weg. Schauspiel in fünf Akten","9"
"Paul Goldmann","Mourir. Roman","Directed","Paul Goldmann–Mourir. Roman","9"
"Paul Goldmann","Der grüne Kakadu – Paracelsus – Die Gefährtin. Drei Einakter","Directed","Paul Goldmann–Der grüne Kakadu – Paracelsus – Die Gefährtin. Drei Einakter","8"
"Paul Goldmann","Der grüne Kakadu. Groteske in einem Akt","Directed","Paul Goldmann–Der grüne Kakadu. Groteske in einem Akt","7"
"Paul Goldmann","Die kleine Komödie","Directed","Paul Goldmann–Die kleine Komödie","6"
"Paul Goldmann","Neue Deutsche Rundschau","Directed","Paul Goldmann–Neue Deutsche Rundschau","6"
"Paul Goldmann","Mercure de France","Directed","Paul Goldmann–Mercure de France","6"
"Paul Goldmann","Berliner Theater. (»Lebendige Stunden« von Arthur Schnitzler.)","Directed","Paul Goldmann–Berliner Theater. (»Lebendige Stunden« von Arthur Schnitzler.)","6"
"Paul Goldmann","Weihnachts-Einkäufe","Directed","Paul Goldmann–Weihnachts-Einkäufe","5"
"Paul Goldmann","Frau Bertha Garlan. Roman","Directed","Paul Goldmann–Frau Bertha Garlan. Roman","5"
"Paul Goldmann","Alkandi’s Lied","Directed","Paul Goldmann–Alkandi’s Lied","5"
"Paul Goldmann","Die Frau des Weisen. Novelletten","Directed","Paul Goldmann–Die Frau des Weisen. Novelletten","5"
"Paul Goldmann","Die Zeit","Directed","Paul Goldmann–Die Zeit","5"
"Paul Goldmann","Berliner Tageblatt","Directed","Paul Goldmann–Berliner Tageblatt","5"
"Paul Goldmann","La Liberté","Directed","Paul Goldmann–La Liberté","5"
"Paul Goldmann","La petite comédie. Mœurs viennois","Directed","Paul Goldmann–La petite comédie. Mœurs viennois","5"
"Paul Goldmann","Berliner Theater. (»Der Schleier der Beatrice« von Arthur Schnitzler.)","Directed","Paul Goldmann–Berliner Theater. (»Der Schleier der Beatrice« von Arthur Schnitzler.)","5"
