Source,Target,Type,Label,Weight
"Robert Adam","Neidhard","Directed","Robert Adam–Neidhard","12"
"Robert Adam","Die Geschichte des Alî ibn Bekkâr mit Schams an-Nahâr","Directed","Robert Adam–Die Geschichte des Alî ibn Bekkâr mit Schams an-Nahâr","10"
"Robert Adam","Der Fremde","Directed","Robert Adam–Der Fremde","10"
"Robert Adam","Fatme","Directed","Robert Adam–Fatme","8"
"Robert Adam","Yppl. Idylle in fünf Akten","Directed","Robert Adam–Yppl. Idylle in fünf Akten","8"
"Robert Adam","Das Ende des Judas","Directed","Robert Adam–Das Ende des Judas","7"
"Robert Adam","Meine Memoiren","Directed","Robert Adam–Meine Memoiren","6"
"Robert Adam","Märchenkomödie","Directed","Robert Adam–Märchenkomödie","6"
"Robert Adam","Gesellschaft [Eine Gaunerkomödie]","Directed","Robert Adam–Gesellschaft [Eine Gaunerkomödie]","5"
"Robert Adam","Margot und das Jugendgericht","Directed","Robert Adam–Margot und das Jugendgericht","4"
"Robert Adam","Jean Christophe","Directed","Robert Adam–Jean Christophe","3"
"Robert Adam","Der Geist im Wort und der Geist in der Tat","Directed","Robert Adam–Der Geist im Wort und der Geist in der Tat","2"
"Robert Adam","Die Schwestern oder Casanova in Spa. Lustspiel in Versen","Directed","Robert Adam–Die Schwestern oder Casanova in Spa. Lustspiel in Versen","2"
"Robert Adam","Im Spiel der Sommerlüfte. In drei Aufzügen","Directed","Robert Adam–Im Spiel der Sommerlüfte. In drei Aufzügen","2"
"Robert Adam","Zur Frage des Laienrichtertums beim Handelsgericht","Directed","Robert Adam–Zur Frage des Laienrichtertums beim Handelsgericht","2"
"Robert Adam","Rechtsphilosophie","Directed","Robert Adam–Rechtsphilosophie","2"
"Robert Adam","Wundervogel","Directed","Robert Adam–Wundervogel","2"
"Robert Adam","Robert","Directed","Robert Adam–Robert","2"
"Robert Adam","Über Rechtsprinzipien. Eine analytische Untersuchung","Directed","Robert Adam–Über Rechtsprinzipien. Eine analytische Untersuchung","2"
"Robert Adam","Buch der Sprüche und Bedenken","Directed","Robert Adam–Buch der Sprüche und Bedenken","1"
"Robert Adam","Doktor Gräsler, Badearzt","Directed","Robert Adam–Doktor Gräsler, Badearzt","1"
"Robert Adam","Professor Bernhardi. Komödie in fünf Akten","Directed","Robert Adam–Professor Bernhardi. Komödie in fünf Akten","1"
"Robert Adam","Das weite Land. Tragikomödie in fünf Akten","Directed","Robert Adam–Das weite Land. Tragikomödie in fünf Akten","1"
"Robert Adam","Faust. Eine Tragödie","Directed","Robert Adam–Faust. Eine Tragödie","1"
"Robert Adam","Komödie der Worte. Drei Einakter","Directed","Robert Adam–Komödie der Worte. Drei Einakter","1"
"Robert Adam","Therese. Chronik eines Frauenlebens","Directed","Robert Adam–Therese. Chronik eines Frauenlebens","1"
"Robert Adam","Fink und Fliederbusch. Komödie in drei Akten","Directed","Robert Adam–Fink und Fliederbusch. Komödie in drei Akten","1"
"Robert Adam","Casanovas Heimfahrt","Directed","Robert Adam–Casanovas Heimfahrt","1"
"Robert Adam","Don Quijote","Directed","Robert Adam–Don Quijote","1"
"Robert Adam","Wilhelm Meister","Directed","Robert Adam–Wilhelm Meister","1"
