Source,Target,Type,Label,Weight
"Oskar Blumenthal","Das Märchen. Schauspiel in drei Aufzügen","Directed","Oskar Blumenthal–Das Märchen. Schauspiel in drei Aufzügen","5"
"Oskar Blumenthal","Anatol","Directed","Oskar Blumenthal–Anatol","2"
"Oskar Blumenthal","Abschiedssouper","Directed","Oskar Blumenthal–Abschiedssouper","1"
"Oskar Blumenthal","Denksteine","Directed","Oskar Blumenthal–Denksteine","1"
"Oskar Blumenthal","Agonie","Directed","Oskar Blumenthal–Agonie","1"
"Oskar Blumenthal","Weihnachts-Einkäufe","Directed","Oskar Blumenthal–Weihnachts-Einkäufe","1"
"Oskar Blumenthal","Die Frage an das Schicksal","Directed","Oskar Blumenthal–Die Frage an das Schicksal","1"
"Oskar Blumenthal","Niobe","Directed","Oskar Blumenthal–Niobe","1"
"Oskar Blumenthal","Episode","Directed","Oskar Blumenthal–Episode","1"
"Oskar Blumenthal","Morituri","Directed","Oskar Blumenthal–Morituri","1"
"Oskar Blumenthal","Der Eisenfresser","Directed","Oskar Blumenthal–Der Eisenfresser","1"
