Source,CorrID,Target,WorkID,Overallcount,Type,Label,Weight
"Richard Beer-Hofmann","10863","Rechte der Seele. Schauspiel in einem Act","31711","4","Directed","Richard Beer-Hofmann–Rechte der Seele. Schauspiel in einem Act","2"
"Richard Beer-Hofmann","10863","Musotte","31971","5","Directed","Richard Beer-Hofmann–Musotte","2"
"Richard Beer-Hofmann","10863","Die Verstoßung der Hagar","32368","2","Directed","Richard Beer-Hofmann–Die Verstoßung der Hagar","2"
"Richard Beer-Hofmann","10863","Don Karlos, Infant von Spanien","33023","4","Directed","Richard Beer-Hofmann–Don Karlos, Infant von Spanien","2"
"Richard Beer-Hofmann","10863","Ischler Brief","33442","3","Directed","Richard Beer-Hofmann–Ischler Brief","2"
"Richard Beer-Hofmann","10863","Das Märchen der 672. Nacht","33962","5","Directed","Richard Beer-Hofmann–Das Märchen der 672. Nacht","2"
"Richard Beer-Hofmann","10863","Die Jüdin von Toledo","34284","3","Directed","Richard Beer-Hofmann–Die Jüdin von Toledo","2"
"Richard Beer-Hofmann","10863","Theâtre complet","34888","2","Directed","Richard Beer-Hofmann–Theâtre complet","2"
"Richard Beer-Hofmann","10863","Frankfurter Zeitung","36344","60","Directed","Richard Beer-Hofmann–Frankfurter Zeitung","2"
"Richard Beer-Hofmann","10863","Die Regeln des Duells","39541","2","Directed","Richard Beer-Hofmann–Die Regeln des Duells","2"
"Richard Beer-Hofmann","10863","Wiener Bummelgeschichten","39734","2","Directed","Richard Beer-Hofmann–Wiener Bummelgeschichten","2"
"Richard Beer-Hofmann","10863","Deutsche Alpen","40461","2","Directed","Richard Beer-Hofmann–Deutsche Alpen","2"
"Richard Beer-Hofmann","10863","Die Presse","41189","3","Directed","Richard Beer-Hofmann–Die Presse","2"
"Richard Beer-Hofmann","10863","Aus Ischl","41191","2","Directed","Richard Beer-Hofmann–Aus Ischl","2"
"Richard Beer-Hofmann","10863","Berliner Börsen-Courier","41289","6","Directed","Richard Beer-Hofmann–Berliner Börsen-Courier","2"
"Richard Beer-Hofmann","10863","Pierrot Hypnotiseur","41342","2","Directed","Richard Beer-Hofmann–Pierrot Hypnotiseur","2"
"Richard Beer-Hofmann","10863","Die Morgenröthe. Komödie aus dem Jahre 1848","41582","2","Directed","Richard Beer-Hofmann–Die Morgenröthe. Komödie aus dem Jahre 1848","2"
"Richard Beer-Hofmann","10863","Sein Sohn","42009","2","Directed","Richard Beer-Hofmann–Sein Sohn","2"
"Richard Beer-Hofmann","10863","Ischler Wochenblatt","42152","2","Directed","Richard Beer-Hofmann–Ischler Wochenblatt","2"
"Richard Beer-Hofmann","10863","Gläubiger","42614","3","Directed","Richard Beer-Hofmann–Gläubiger","2"
"Richard Beer-Hofmann","10863","Partie in Seis am Schlern","51884","4","Directed","Richard Beer-Hofmann–Partie in Seis am Schlern","2"
"Richard Beer-Hofmann","10863","Das Echo des Lebens","52544","2","Directed","Richard Beer-Hofmann–Das Echo des Lebens","2"
